name	human	mouse
Calcium_ion_channel	CACNA1C	Cacna1c
Chloride_ion_channel	ANO2	Ano2
Potassium_ion_channel	KCNA2	Kcna2
Sodium_ion_channel	ASIC3	Asic3
Voltage_gated_ion_channel	CACNA1C	Cacna1c
Gap_junction_proteins	GJA10	Gja10
Ligand_gated_ion_channels	CHRNA2	Chrna2
Porins	AQP11	Aqp11
Cortical_neuron	GPM6A	Gpm6a
Sesory_neuron	P2RX3	P2rx3
Nociceptor	P2RX3	P2rx3
Opioid_receptors	OPRL1	Oprl1
Glia	DBI	Dbi
Lower_cortical_neuron	CDKN2D	Cdkn2d
Upper_cortical_neuron	CAMK2B	Camk2b
Housekeeping	ANAPC5	Anapc5
Stress_panel	ATF6B	Atf6b
Cell_cycle_G2M_phase	ARHGAP19	Arhgap19
Cell_cycle_S_phase	ANKRD18A	NA
Intestinal	KRT20	Krt20
Early_marker	DHCR24	Dhcr24
Late_neural_progenitor	COL11A1	Col11a1
Late_neural_progenitor_proteomics	FRZB	Frzb
Neural_progenitor_proteomics	CAPN6	Capn6
Transient_neuronal_regulation	CENPF	Cenpf
Pluripotency	DUSP6	Dusp6
Ectoderm	DMBX1	Dmbx1
Endoderm	CLDN1	Cldn1
Mesoderm	CDX2	Cdx2
Neuronal_marker	EMX2	Emx2
Neural Crest	GBX2	Gbx2
Astrocyte	HES5	Hes5
Ion_channels_general	HCN1	Hcn1
Calcium_ion_channel	CACNA1D	Cacna1d
Chloride_ion_channel	ANO3	Ano3
Potassium_ion_channel	KCNA3	Kcna3
Sodium_ion_channel	ASIC4	Asic4
Voltage_gated_ion_channel	CACNA1D	Cacna1d
Gap_junction_proteins	GJA3	Gja3
Ligand_gated_ion_channels	CHRNA3	Chrna3
Porins	AQP12A	Aqp12
Cortical_neuron	MARCKSL1	Marcksl1
Sesory_neuron	MRGPRD	Mrgprd
Nociceptor	MRGPRD	Mrgprd
Opioid_receptors	OPRM1	Oprm1
Glia	DLG4	Dlg4
Lower_cortical_neuron	CELF4	Celf4
Upper_cortical_neuron	CDKN2D	Cdkn2d
Housekeeping	ARID3B	Arid3b
Stress_panel	ATM	Atm
Cell_cycle_G2M_phase	ARL4A	Arl4a
Cell_cycle_S_phase	ASF1B	Asf1b
Intestinal	CHGA	Chga
Early_marker	DUSP6	Dusp6
Late_neural_progenitor	DACH1	Dach1
Late_neural_progenitor_proteomics	FZD3	Fzd3
Neural_progenitor_proteomics	CDH6	Cdh6
Transient_neuronal_regulation	CYP26A1	Cyp26a1
Pluripotency	EPCAM	Epcam
Ectoderm	DRD4	Drd4
Endoderm	CPLX2	Cplx2
Mesoderm	FABP4	Fabp4
Neuronal_marker	FEZF1	Fezf1
Neural Crest	KCNQ1OT1	Kcnq1ot1
Astrocyte	MBP	Mbp
Ion_channels_general	HCN2	Hcn2
Calcium_ion_channel	CACNA1E	Cacna1e
Chloride_ion_channel	ANO4	Ano4
Potassium_ion_channel	KCNA4	Kcna4
Sodium_ion_channel	ASIC5	Asic5
Voltage_gated_ion_channel	CACNA1E	Cacna1e
Gap_junction_proteins	GJA4	Gja4
Ligand_gated_ion_channels	CHRNA4	Chrna4
Porins	AQP12B	Aqp12
Cortical_neuron	MLLT11	Mllt11
Sesory_neuron	RET	Ret
Nociceptor	RET	Ret
Glia	FABP7	Fabp7
Lower_cortical_neuron	CNTNAP2	Cntnap2
Upper_cortical_neuron	CHL1	Chl1
Housekeeping	ARL10	Arl10
Stress_panel	ATR	Atr
Cell_cycle_G2M_phase	ARMC1	Armc1
Cell_cycle_S_phase	ATAD2	Atad2
Early_marker	EZR	Ezr
Late_neural_progenitor	DDX17	Ddx17
Late_neural_progenitor_proteomics	IGFBP5	Igfbp5
Neural_progenitor_proteomics	CNTNAP1	Cntnap1
Transient_neuronal_regulation	DLGAP5	Dlgap5
Pluripotency	ESRG	NA
Ectoderm	EN1	En1
Endoderm	ELAVL3	Elavl3
Mesoderm	FGF4	Fgf4
Neuronal_marker	FOXP2	Foxp2
Neural Crest	MEG3	Meg3
Astrocyte	MGST1	Mgst1
Ion_channels_general	HCN3	Hcn3
Calcium_ion_channel	CACNA1F	Cacna1f
Chloride_ion_channel	ANO5	Ano5
Potassium_ion_channel	KCNA5	Kcna5
Sodium_ion_channel	NALCN	Nalcn
Voltage_gated_ion_channel	CACNA1F	Cacna1f
Gap_junction_proteins	GJA5	Gja5
Ligand_gated_ion_channels	CHRNA5	Chrna5
Porins	AQP2	Aqp2
Cortical_neuron	NES	Nes
Sesory_neuron	TAC1	Tac1
Nociceptor	TAC1	Tac1
Glia	GAP43	Gap43
Lower_cortical_neuron	DOK6	Dok6
Upper_cortical_neuron	CRMP1	Crmp1
Housekeeping	ATXN2	Atxn2
Stress_panel	BBC3	Bbc3
Cell_cycle_G2M_phase	ASXL1	Asxl1
Cell_cycle_S_phase	BBS2	Bbs2
Early_marker	HSPA8	Hspa8
Late_neural_progenitor	DLL1	Dll1
Late_neural_progenitor_proteomics	LRP2	Lrp2
Neural_progenitor_proteomics	CPS1	Cps1
Transient_neuronal_regulation	DPYSL3	Dpysl3
Pluripotency	HESX1	Hesx1
Ectoderm	LMX1A	Lmx1a
Endoderm	EOMES	Eomes
Mesoderm	GDF3	Gdf3
Neuronal_marker	GAD1	Gad1
Neural Crest	MIAT	Miat
Astrocyte	PPP1R1B	Ppp1r1b
Ion_channels_general	KCNQ1OT1	Kcnq1ot1
Calcium_ion_channel	CACNA1G	Cacna1g
Chloride_ion_channel	ANO6	Ano6
Potassium_ion_channel	KCNA6	Kcna6
Sodium_ion_channel	SCN10A	Scn10a
Voltage_gated_ion_channel	CACNA1G	Cacna1g
Gap_junction_proteins	GJA6P	Gja6
Ligand_gated_ion_channels	CHRNA6	Chrna6
Porins	AQP3	Aqp3
Cortical_neuron	NEUROD2	Neurod2
Sesory_neuron	CALCA	Calca
Nociceptor	CALCA	Calca
Glia	GFAP	Gfap
Lower_cortical_neuron	FAM49A	NA
Upper_cortical_neuron	CXADR	Cxadr
Housekeeping	C16orf62	NA
Stress_panel	BID	Bid
Cell_cycle_G2M_phase	ATL2	Atl2
Cell_cycle_S_phase	BIVM	Bivm
Early_marker	HSPD1	Hspd1
Late_neural_progenitor	DMRTA1	Dmrta1
Late_neural_progenitor_proteomics	NELL2	Nell2
Neural_progenitor_proteomics	CRB2	Crb2
Transient_neuronal_regulation	EEF1A1	Eef1a1
Pluripotency	IDO1	Ido1
Ectoderm	MAP2	Map2
Endoderm	FABP1	Fabp1
Mesoderm	HAND1	Hand1
Neuronal_marker	GAD2	Gad2
Neural Crest	MSX1	Msx1
Astrocyte	S100A1	S100a1
Ion_channels_general	KCNQ2	Kcnq2
Calcium_ion_channel	CACNA1H	Cacna1h
Chloride_ion_channel	ANO7	Ano7
Potassium_ion_channel	KCNA7	Kcna7
Sodium_ion_channel	SCN11A	Scn11a
Voltage_gated_ion_channel	CACNA1H	Cacna1h
Gap_junction_proteins	GJA8	Gja8
Ligand_gated_ion_channels	CHRNA7	Chrna7
Porins	AQP4	Aqp4
Cortical_neuron	SLA	Sla
Sesory_neuron	SST	Sst
Nociceptor	SST	Sst
Glia	HES1	Hes1
Lower_cortical_neuron	GABRB2	Gabrb2
Upper_cortical_neuron	DAAM1	Daam1
Housekeeping	C1orf43	4933434E20Rik
Stress_panel	CALR	Calr
Cell_cycle_G2M_phase	AURKB	Aurkb
Cell_cycle_S_phase	BLM	Blm
Early_marker	HSPE1	Hspe1
Late_neural_progenitor	EFNA5	Efna5
Late_neural_progenitor_proteomics	PRSS23	Prss23
Neural_progenitor_proteomics	DIAPH2	Diaph2
Transient_neuronal_regulation	FGFBP3	Fgfbp3
Pluripotency	LCK	Lck
Ectoderm	MYO3B	Myo3b
Endoderm	FABP1	Fabp1
Mesoderm	HAND2	Hand2
